ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,SSP1_2030_population,SSP1_2050_population,SSP2_2030_population,SSP2_2050_population,SSP3_2030_population,SSP3_2050_population
Abancay,PE030101,Abancay,PE0301,Apurimac,58356.16406,58008.53906,60434.32031,66766.89063,68371.97656,97486.28125
Abelardo Pardo Lezameta,PE020502,Bolognesi,PE0205,Ancash,2426.76123046875,2592.70751953125,2539.4677734375,2847.726563,2789.4345703125,3064.323974609375
Acari,PE040302,Caraveli,PE0403,Arequipa,4907.839844,5294.96630859375,5141.59375,5728.94580078125,5522.81884765625,6782.861328
Acas,PE021402,Ocros,PE0214,Ancash,901.49365234375,863.669677734375,914.8170166015625,893.7154541015625,983.6820678710938,1037.48974609375
Accha,PE081002,Paruro,PE0810,Cusco,3633.133056640625,3528.56201171875,3751.4658203125,3872.76708984375,3981.43701171875,4647.4638671875
Accomarca,PE051102,Vilcas Huaman,PE0511,Ayacucho,913.7588500976562,838.1926879882812,934.5097656,917.5126953,977.1429443359375,988.4002075195312
Achaya,PE210202,Azangaro,PE2102,Puno,3956.409423828125,3924.304443359375,4093.403564453125,4132.773438,4366.3154296875,4803.228516
Achoma,PE040502,Caylloma,PE0405,Arequipa,723.64794921875,703.164794921875,744.7434692382812,737.7119750976562,798.7161254882812,920.4299926757812
Aco,PE020902,Corongo,PE0209,Ancash,395.9913635253906,377.9085693359375,405.4913330078125,398.382080078125,429.71868896484375,428.5899658203125
Aco,PE120202,Concepcion,PE1202,Junin,1809.9959716796875,1879.35205078125,1915.56591796875,2218.423828,2080.39892578125,2783.0029296875
Acobamba,PE021902,Sihuas,PE0219,Ancash,1718.882813,1638.169922,1766.9754638671875,1695.767822265625,1885.1572265625,1894.669922
Acobamba,PE090201,Acobamba,PE0902,Huancavelica,11020.30078,10726.6591796875,11471.017578125,12502.322265625,12550.587890625,17324.853515625
Acobamba,PE120702,Tarma,PE1207,Junin,16674.564453125,16491.251953125,17548.017578125,18822.67188,19122.48047,24946.958984375
Acobambilla,PE090102,Huancavelica,PE0901,Huancavelica,3955.533203,3673.78125,4043.276611328125,3982.057861328125,4326.14599609375,4424.67236328125
Acochaca,PE020402,Asuncion,PE0204,Ancash,2967.306884765625,2907.77294921875,3112.34716796875,3246.989990234375,3549.849609,5481.986328
Acocro,PE050102,Huamanga,PE0501,Ayacucho,10284.3857421875,9834.964844,10679.728515625,10504.24219,11473.48828,12867.138671875
Acolla,PE120402,Jauja,PE1204,Junin,7297.8056640625,7093.640625,7710.6005859375,8500.873047,8464.523438,11203.75781
Acomayo,PE080201,Acomayo,PE0802,Cusco,5293.318359,5274.58447265625,5488.902344,5721.894531,5951.603516,7618.32861328125
Acopampa,PE020602,Carhuaz,PE0206,Ancash,3026.0048828125,2922.2099609375,3181.27197265625,3111.25830078125,3544.24462890625,4267.9638671875
Acopia,PE080202,Acomayo,PE0802,Cusco,2187.58935546875,2208.854248046875,2281.671875,2508.396728515625,2489.565673828125,3044.49951171875
Acora,PE210102,Puno,PE2101,Puno,24522.552734375,23015.90625,25409.89453,25227.63281,27738.33984,33911.47656
Acoria,PE090103,Huancavelica,PE0901,Huancavelica,37756.72656,37089.39063,39186.75391,42549.32031,42970,55939.48828
Acos,PE080203,Acomayo,PE0802,Cusco,2112.246094,2027.11865234375,2172.466797,2148.79541015625,2313.941406,2610.2451171875
Acos Vinchos,PE050103,Huamanga,PE0501,Ayacucho,5983.6748046875,5713.6376953125,6211.267578,6392.6220703125,6754.056641,7964.78759765625
Acostambo,PE090702,Tayacaja,PE0907,Huancavelica,4002.842041015625,3689.916259765625,4183.81103515625,4112.501953,4470.9423828125,4808.892578
Acraquia,PE090703,Tayacaja,PE0907,Huancavelica,4680.933594,4508.576172,4928.554688,5067.9130859375,5310.76220703125,6536.46923828125
Aczo,PE020302,Antonio Raymondi,PE0203,Ancash,2990.96142578125,3126.874755859375,3167.844970703125,3655.948486328125,3506.8779296875,4469.98583984375
Agallpampa,PE130602,Otuzco,PE1306,La Libertad,8008.3125,6876.2373046875,8373.8876953125,7756.111328,9069.867188,9499.78125
Agua Blanca,PE220302,El Dorado,PE2203,San Martin,3670.80517578125,3808.80908203125,3789.95654296875,3961.7861328125,4038.421142578125,4245.306641
Aguas Verdes,PE240302,Zarumilla,PE2403,Tumbes,27550.91016,28173.650390625,28886.89063,31769.75391,31437.275390625,38914.01563
Ahuac,PE120902,Chupaca,PE1209,Junin,6920.21142578125,7221.025391,7317.64111328125,8612.808594,8145.97119140625,12202.5419921875
Ahuaycha,PE090704,Tayacaja,PE0907,Huancavelica,6187.80322265625,6365.8486328125,6433.2587890625,7004.296875,6980.125,9336.464844
Aija,PE020201,Aija,PE0202,Ancash,1757.4307861328125,1945.59228515625,1804.570556640625,1913.4677734375,1974.8375244140625,2271.338134765625
Ajoyani,PE210302,Carabaya,PE2103,Puno,1951.0458984375,1880.201416015625,2011.3443603515625,2032.4534912109375,2166.342529296875,2393.1181640625
Alberto Leveau,PE220902,San Martin,PE2209,San Martin,1296.60888671875,1738.37939453125,1325.6790771484375,1867.6363525390625,1513.3570556640625,2434.6552734375
Alca,PE040802,La Union,PE0408,Arequipa,2540.652344,2912.868408203125,2614.65771484375,3035.459716796875,2928.626220703125,3682.664306640625
Alcamenca,PE051002,Victor Fajardo,PE0510,Ayacucho,2594.97021484375,2458.52880859375,2673.736328,2719.0458984375,2837.077392578125,3471.201416015625
Alexander Von Humboldt,PE250305,Padre Abad,PE2503,Ucayali,3784.6962890625,2954.480712890625,3948.3935546875,3501.70751953125,4304.660156,4287.7880859375
Alfonso Ugarte,PE021903,Sihuas,PE0219,Ancash,759.5675048828125,740.5309448242188,798.450927734375,781.78076171875,856.6347656,929.8703002929688
Alis,PE151002,Yauyos,PE1510,Lima,813.8848876953125,775.3494873046875,836.046142578125,814.3916625976562,886.5282592773438,944.03076171875
Allauca,PE151003,Yauyos,PE1510,Lima,1814.376220703125,1653.4561767578125,1882.4464111328125,1844.720458984375,1986.9818115234375,1996.6251220703125
Alonso de Alvarado,PE220502,Lamas,PE2205,San Martin,9434.582031,9485.0810546875,9768.492188,10144.64063,10385.1787109375,11418.99609
Alto Biavo,PE220202,Bellavista,PE2202,San Martin,5197.82470703125,5260.1474609375,5309.8779296875,5460.1259765625,5723.666016,6087.1103515625
Alto de la Alianza,PE230102,Tacna,PE2301,Tacna,33652.25781,30710.80469,34719.18359,33549.58594,37648.02734,38675.05469
Alto Inambari,PE211209,Sandia,PE2112,Puno,7530.8447265625,7505.519531,7723.132813,7923.572266,8358.0283203125,8798.3662109375
Alto Laran,PE110202,Chincha,PE1102,Ica,7318.832031,6788.7666015625,7663.1591796875,7446.74755859375,8333.740234,9294.9267578125
Alto Nanay,PE160102,Maynas,PE1601,Loreto,25170.85547,24714.375,25978.29688,25805.814453125,27062.935546875,26450.80078
Alto Pichigua,PE080808,Espinar,PE0808,Cusco,2283.958984,2334.540771484375,2348.80615234375,2444.937744140625,2593.258544921875,2896.286376953125
Alto Saposoa,PE220402,Huallaga,PE2204,San Martin,3038.269775390625,3392.6845703125,3127.564208984375,3954.7353515625,3384.501708984375,4616.310547
Alto Selva Alegre,PE040102,Arequipa,PE0401,Arequipa,77250.73438,74382.59375,79802.125,80255.48438,87746.67969,110327.9375
Alto Tapiche,PE160502,Requena,PE1605,Loreto,20.15000343322754,19.532352447509766,20.587858200073242,20.271652221679688,21.485933303833008,21.712709426879883
Amantani,PE210103,Puno,PE2101,Puno,4635.376953,5093.6982421875,4862.3154296875,5695.453125,5335.98486328125,7456.8994140625
Amarilis,PE100102,Huanuco,PE1001,Huanuco,94238.92969,95871.58594,99393.71094,108274.4219,111311.1563,151928.5469
Amashca,PE020603,Carhuaz,PE0206,Ancash,1481.463134765625,1365.566162109375,1551.25048828125,1559.154541015625,1698.3228759765625,1842.748047
Ambar,PE150802,Huaura,PE1508,Lima,1778.456787109375,1681.48095703125,1816.207275390625,1788.3125,1971.100830078125,1989.07275390625
Ambo,PE100201,Ambo,PE1002,Huanuco,22878.138671875,24926.67969,23891.76172,27017.70703,25886.8125,31875.201171875
Amotape,PE200502,Paita,PE2005,Piura,3174.939453,3501.386719,3351.34521484375,3714.119384765625,3655.4111328125,4400.12744140625
Ananea,PE211002,San Antonio de Putina,PE2110,Puno,33723.95703,33499.67578,35094.75391,37742.01563,38766.21875,47075.98438
Anapia,PE211302,Yunguyo,PE2113,Puno,3849.526611328125,4006.68017578125,4161.43310546875,4375.1513671875,4529.794922,8613.3369140625
Ancahuasi,PE080302,Anta,PE0803,Cusco,7055.128906,7125.91162109375,7353.4462890625,7930.623047,7932.0458984375,9947.251953
Anchihuay,PE050510,La Mar,PE0505,Ayacucho,3371.18310546875,3027.5146484375,3475.767578,3330.720947265625,3714.26416015625,3875.246337890625
Anchonga,PE090302,Angaraes,PE0903,Huancavelica,10756.5966796875,11516.44531,11095.96094,12816.97266,12235.771484375,17858.23047
Anco,PE050502,La Mar,PE0505,Ayacucho,12557.83203,11502.0087890625,12976.61719,12887.482421875,13806.11328,15486.8251953125
Anco,PE090502,Churcampa,PE0905,Huancavelica,5639.37255859375,5041.894531,5898.869141,5622.298828,6423.3603515625,7121.7685546875
Anco-Huallo,PE030602,Chincheros,PE0306,Apurimac,11627.427734375,11884.1630859375,12099.3955078125,13203.8974609375,13175.548828125,19688.70703
Ancon,PE150102,Lima,PE1501,Lima,39036.6875,34832.12891,40893.75391,39638.13281,44376.85938,48912.12109
Andabamba,PE061302,Santa Cruz,PE0613,Cajamarca,1698.73291015625,1656.8531494140625,1737.4364013671875,1752.176025390625,1838.44873046875,1846.5242919921875
Andabamba,PE090202,Acobamba,PE0902,Huancavelica,6822.9658203125,6894.07177734375,7149.3583984375,8148.32373046875,7885.337891,11887.2353515625
Andagua,PE040402,Castilla,PE0404,Arequipa,749.9305419921875,719.3001708984375,767.12158203125,800.2896118164062,841.6881103515625,1115.844482421875
Andahuaylas,PE030201,Andahuaylas,PE0302,Apurimac,51443.83594,52667.72266,54076.25,62123.80078,60367.99609,100771.5156
Andahuaylillas,PE081202,Quispicanchi,PE0812,Cusco,5933.73779296875,6039.7431640625,6195.1552734375,6883.54833984375,6840,9232.6220703125
Andajes,PE150902,Oyon,PE1509,Lima,815.6370849609375,769.4049072265625,836.941162109375,815.2730712890625,894.9358520507812,921.3740234
Andamarca,PE120203,Concepcion,PE1202,Junin,4315.605469,4015.17236328125,4407.59228515625,4317.8623046875,4618.54150390625,4646.519531
Andarapa,PE030202,Andahuaylas,PE0302,Apurimac,4331.375,4021.116943359375,4490.8388671875,4328.4384765625,4804.441406,4853.2626953125
Andaray,PE040602,Condesuyos,PE0406,Arequipa,235.66741943359375,223.3482208251953,241.6835479736328,241.4970703,259.69952392578125,268.104736328125
Andaymarca,PE090720,Tayacaja,PE0907,Huancavelica,4172.802734,3969.31396484375,4395.060547,4545.25732421875,4811.9150390625,5719.88232421875
Andoas,PE160706,Datem del Mara?on,PE1607,Loreto,7249.62060546875,7234.61376953125,7562.9052734375,7706.753906,8182.404297,9470.517578
Andres Avelino Caceres Dorregaray,PE050116,Huamanga,PE0501,Ayacucho,32692.943359375,31883.595703125,33925.21094,34115.42969,37060.42969,44148.54688
Angasmarca,PE131002,Santiago de Chuco,PE1310,La Libertad,7221.585938,7009.5673828125,7503.82666015625,7490.81689453125,8185.207031,8838.0166015625
Anguia,PE060402,Chota,PE0604,Cajamarca,4599.457031,4695.408203,4865.8955078125,5116.38916015625,5251.90966796875,6190.009766
Anra,PE021002,Huari,PE0210,Ancash,1716.2545166015625,1769.801025390625,1746.3875732421875,1824.44873046875,1873.0128173828125,1947.535400390625
Anta,PE020604,Carhuaz,PE0206,Ancash,2545.03271484375,2497.593505859375,2672.841064453125,2658.230712890625,2810.9208984375,3027.5068359375
Anta,PE080301,Anta,PE0803,Cusco,17699.58594,18186.318359375,18460.14844,21016.416015625,20756.345703125,29607.63672
Anta,PE090203,Acobamba,PE0902,Huancavelica,11813.158203125,12410.685546875,12450.283203125,14904.95313,13834.138671875,21859.033203125
Antabamba,PE030301,Antabamba,PE0303,Apurimac,2462.680908203125,2361.71630859375,2528.726318359375,2690.841797,2680.136719,3272.0107421875
Antauta,PE210802,Melgar,PE2108,Puno,4311.224609,4218.988281,4464.8798828125,4725.939453,4805.3759765625,5901.136719
Antioquia,PE150702,Huarochiri,PE1507,Lima,1110.87841796875,1052.199462890625,1135.017578,1120.2291259765625,1208.8172607421875,1234.792236328125
Antonio Raymondi,PE020503,Bolognesi,PE0205,Ancash,1378.960938,1610.9945068359375,1419.6671142578125,1693.123779296875,1524.567138671875,1958.86376953125
Aparicio Pomares,PE101104,Yarowilca,PE1011,Huanuco,6872.9033203125,7541.1865234375,7176.2119140625,7837.19775390625,7849.8388671875,8680.363281
Apata,PE120403,Jauja,PE1204,Junin,3993.204833984375,3780.784423828125,4154.27197265625,4227.080078,4475.613281,5026.019531
Aplao,PE040401,Castilla,PE0404,Arequipa,8806.427734,8533.089844,9253.7958984375,9978.060547,10209.55469,13117.3076171875
Apongo,PE051003,Victor Fajardo,PE0510,Ayacucho,1245.7958984375,1158.353516,1272.8668212890625,1252.435547,1337.73291015625,1348.075927734375
Aquia,PE020504,Bolognesi,PE0205,Ancash,3150.4091796875,3693.313232421875,3249.30126953125,3846.325927734375,3570.401611328125,4472.81787109375
Arahuay,PE150402,Canta,PE1504,Lima,540.5457153320312,490.00732421875,553.1868286132812,538.5208740234375,599.73779296875,602.2916259765625
Aramango,PE010202,Bagua,PE0102,Amazonas,12378.23438,12994.1103515625,12806.54297,13492.107421875,13610.8720703125,15407.5263671875
Arancay,PE100502,Huamalies,PE1005,Huanuco,1791.59814453125,1825.001220703125,1827.843994140625,1888.789306640625,1956.154052734375,2044.770751953125
Arapa,PE210203,Azangaro,PE2102,Puno,6714.33154296875,6364.9990234375,6930.052734,6856.22607421875,7458.421875,8281.982422
Arenal,PE200503,Paita,PE2005,Piura,1074.9588623046875,1198.267333984375,1093.841797,1243.6219482421875,1183.5947265625,1669.990478515625
Arequipa,PE040101,Arequipa,PE0401,Arequipa,68124.53125,63493.73438,71237.57813,69641.0625,77748.25,95328.22656
Arma,PE090402,Castrovirreyna,PE0904,Huancavelica,1092.480712890625,1014.8331909179688,1119.800537109375,1087.618408203125,1206.948974609375,1182.87060546875
Ascension,PE090118,Huancavelica,PE0901,Huancavelica,17340.392578125,20204.09375,18218.46484,21621.04297,19831.51563,33550.85547
Ascope,PE130201,Ascope,PE1302,La Libertad,6029.23095703125,5278.8310546875,6286.4580078125,5851.457031,6887.64306640625,7336.0634765625
Asia,PE150502,Ca?ete,PE1505,Lima,8721.4462890625,8029.49560546875,9112.365234,8979.460938,9940.513672,10965.8623046875
Asillo,PE210204,Azangaro,PE2102,Puno,16758.669921875,15872.16016,17433.44141,17735.052734375,19087.916015625,22361.25781
Asquipata,PE051004,Victor Fajardo,PE0510,Ayacucho,417.0174560546875,384.7024230957031,426.0791931152344,419.53509521484375,447.46795654296875,454.07879638671875
Asuncion,PE010102,Chachapoyas,PE0101,Amazonas,520.395751953125,512.0873413085938,537.0745849609375,541.1650391,591.3302612304688,608.8998413085938
Asuncion,PE060102,Cajamarca,PE0601,Cajamarca,10610.291015625,9485.929688,11203.375,10565.9375,12090.041015625,12149.67578
Ataquero,PE020605,Carhuaz,PE0206,Ancash,1326.3958740234375,1268.753662109375,1360.5888671875,1350.268310546875,1474.121826171875,1571.811279296875
Ataura,PE120404,Jauja,PE1204,Junin,1357.058837890625,1640.717529296875,1411.611083984375,1907.298095703125,1597.432373046875,2554.54736328125
Atavillos Alto,PE150602,Huaral,PE1506,Lima,442.4239501953125,418.6717529296875,451.14263916015625,442.45086669921875,472.6905212402344,473.9034423828125
Atavillos Bajo,PE150603,Huaral,PE1506,Lima,975.0849609,896.789794921875,998.0635375976562,965.1069946289062,1055.613281,1049.76220703125
Ate,PE150103,Lima,PE1501,Lima,682684.75,644827.5,710864.75,706122.5,764625.5,796257.875
Atico,PE040303,Caraveli,PE0403,Arequipa,3442.14599609375,3575.269775390625,3536.635986328125,3848.0888671875,3866.53369140625,4520.96337890625
Atiquipa,PE040304,Caraveli,PE0403,Arequipa,827.0261840820312,982.562255859375,853.053466796875,1048.8377685546875,907.0800781,1196.087158203125
Atuncolla,PE210104,Puno,PE2101,Puno,5089.18994140625,4901.771484,5287.4990234375,5301.478516,5762.90087890625,6378.816406
Aucallama,PE150604,Huaral,PE1506,Lima,18031.625,15700.615234375,19002.59375,18002.98828,20558.30078,21397.40234
Aucara,PE050602,Lucanas,PE0506,Ayacucho,5178.550781,4961.21826171875,5305.4013671875,5340.2587890625,5690.97021484375,6153.1923828125
Aurahua,PE090403,Castrovirreyna,PE0904,Huancavelica,2024.6373291015625,1938.7984619140625,2074.898193359375,2110.896240234375,2167.27685546875,2317.595703
Awajun,PE220802,Rioja,PE2208,San Martin,15876.4501953125,17498.439453125,16382.5654296875,18249.77734,17743.64453,20918.77734
Ayabaca,PE200201,Ayabaca,PE2002,Piura,47569.95313,47959.03906,49046.49219,49761.75781,53071.5,59831.60547
Ayacucho,PE050101,Huamanga,PE0501,Ayacucho,90285.14844,89128.67969,97386.83594,111068.3906,106899.0625,145347.7031
Ayahuanco,PE050402,Huanta,PE0504,Ayacucho,6285.048828,5486.89306640625,6475.32958984375,6283.3310546875,6974.5205078125,7255.820313
Ayapata,PE210303,Carabaya,PE2103,Puno,11379.494140625,11280.35938,11676.001953125,11831.5947265625,12557.126953125,13355.20313
Ayavi,PE090602,Huaytara,PE0906,Huancavelica,517.7674560546875,495.1026611328125,529.0184326171875,524.4188232421875,558.63427734375,555.090087890625
Ayaviri,PE151004,Yauyos,PE1510,Lima,532.6610107421875,514.6350708007812,542.4453125,536.7581176757812,567.9759521484375,573.0266723632812
Ayaviri,PE210801,Melgar,PE2108,Puno,22330.583984375,22065.615234375,23236.53125,24290.728515625,25400.111328125,38571.21094
Ayna,PE050503,La Mar,PE0505,Ayacucho,8833.585938,7780.67041015625,9200.087891,8992.681641,10085.310546875,10794.0478515625
Ayo,PE040403,Castilla,PE0404,Arequipa,98.99783325195312,95.96330261230469,101.14904022216797,101.3582763671875,108.36383056640625,109.507568359375
Azangaro,PE151005,Yauyos,PE1510,Lima,487.10443115234375,449.2441406,497.6891174316406,486.5196838378906,523.1357422,528.6572266
Azangaro,PE210201,Azangaro,PE2102,Puno,30672.685546875,31003.78906,31896.85938,33588.36719,36077.6875,52422.02734
Bagua,PE010201,Bagua,PE0102,Amazonas,32873.41406,33739.16797,34355.76563,36478.39844,37237.92578,46271.67188
Bagua Grande,PE010701,Utcubamba,PE0107,Amazonas,58990.45313,62159.58984,60860.39453,65162.78906,66683.92969,78857.72656
Bajo Biavo,PE220203,Bellavista,PE2202,San Martin,31388.44922,36207.03906,32712.318359375,38856.35547,36604.55469,44149.48438
Balsapuerto,PE160202,Alto Amazonas,PE1602,Loreto,18498.57813,18257.65625,19050.03516,19325.05469,21783.93359,22834.21484
Balsas,PE010103,Chachapoyas,PE0101,Amazonas,1611.1241455078125,1896.3367919921875,1655.97998046875,2105.60791015625,1802.9501953125,2482.800781
Bambamarca,PE060701,Hualgayoc,PE0607,Cajamarca,124264.1875,123608.375,130792.8828,137053.125,141773.5313,169165.5938
Bambamarca,PE130302,Bolivar,PE1303,La Libertad,4505.7158203125,4495.837891,4574.08544921875,4525.86669921875,4624.146484,4559.66845703125
Bambas,PE020903,Corongo,PE0209,Ancash,465.2022399902344,430.5610046386719,475.3110046386719,465.36663818359375,507.2548522949219,513.5527344
Ba?os,PE101002,Lauricocha,PE1010,Huanuco,7426.59033203125,7516.55908203125,7755.357422,7896.25,8282.3603515625,9482.789063
Barranca,PE150201,Barranca,PE1502,Lima,71938.14063,71339.79688,74974.71875,79471.04688,82308.875,101565.4453
Barranca,PE160701,Datem del Mara?on,PE1607,Loreto,10301.0322265625,10008.20703,10600.95703,10623.228515625,11245.55078,11626.68359
Barranco,PE150104,Lima,PE1501,Lima,22684.52344,20002.82813,23687.67578,23884.41406,26470.669921875,28151
Barranquita,PE220503,Lamas,PE2205,San Martin,6295.56201171875,6376.03955078125,6426.097656,6745.1728515625,7138.0009765625,8130.93701171875
Belen,PE050902,Sucre,PE0509,Ayacucho,604.5001220703125,540.1119384765625,623.9016723632812,610.7937622070312,666.0639038085938,671.2058715820312
Belen,PE160112,Maynas,PE1601,Loreto,49449.85938,51595.98828,51681.78906,55390.09375,56011.02734,69659.07813
Bella Union,PE040305,Caraveli,PE0403,Arequipa,7058.6337890625,7274.52783203125,7303.31884765625,7985.26806640625,7884.40283203125,9399.714844
Bellavista,PE060802,Jaen,PE0608,Cajamarca,18969.91406,20160.78516,19773.29688,21747.07813,21573.74609,26005.21484
Bellavista,PE070102,Callao,PE0701,Callao,65012.67188,61823.29688,67179.97656,66155.21875,71532.28125,75570.60938
Bellavista,PE200602,Sullana,PE2006,Piura,38828.17969,28871.36719,40329.82813,33143.27344,46153.65234,45562.70313
Bellavista,PE220201,Bellavista,PE2202,San Martin,16441.52734,17637.71484,17165.798828125,19050.06641,18855.30859,21804.279296875
Bellavista de la Union,PE200802,Sechura,PE2008,Piura,5319.6005859375,5127.6669921875,5571.253906,5398.429688,6146.84521484375,7011.3173828125
Bernal,PE200803,Sechura,PE2008,Piura,9293.5322265625,9477.4375,9764.910156,10058.26563,10431.888671875,12022.2314453125
Bolivar,PE061102,San Miguel,PE0611,Cajamarca,1276.4588623046875,1083.6209716796875,1322.0986328125,1262.130859,1414.3348388671875,1435.870849609375
Bolivar,PE130301,Bolivar,PE1303,La Libertad,4457.53125,4594.34912109375,4601.833984,5070.5576171875,4933.357422,6106.93505859375
Bolognesi,PE021502,Pallasca,PE0215,Ancash,1097.737060546875,1030.968505859375,1126.066406,1105.245849609375,1192.936279296875,1187.5906982421875
Bre?a,PE150105,Lima,PE1501,Lima,62703.30469,60369.40625,64208.16406,63090.67188,68690.53125,69782.75781
Buena Vista Alta,PE020802,Casma,PE0208,Ancash,3197.7177734375,2627.5263671875,3359.4013671875,3026.64599609375,3716.13232421875,3716.649169921875
Buenos Aires,PE200402,Morropon,PE2004,Piura,8893.160156,10144.0849609375,9293.1806640625,11531.044921875,10335.6689453125,14068.89063
Buenos Aires,PE220702,Picota,PE2207,San Martin,6880.7880859375,8681.7060546875,7126.0849609375,9265.908203,7793.789063,12385.68359
Buldibuyo,PE130802,Pataz,PE1308,La Libertad,4447.89404296875,4686.066406,4581.246094,5156.9326171875,5026.7744140625,6283.46875
Cabana,PE021501,Pallasca,PE0215,Ancash,2847.282958984375,2905.22509765625,2944.958984,3027.527099609375,3261.190673828125,3281.45068359375
Cabana,PE050603,Lucanas,PE0506,Ayacucho,4810.59375,4596.0478515625,4983.15673828125,4926.8935546875,5285.53955078125,5584.8857421875
Cabana,PE211102,San Roman,PE2111,Puno,3964.294189453125,3809.658203,4107.7255859375,4210.333984,4441.98291015625,4920.289063
Cabanaconde,PE040503,Caylloma,PE0405,Arequipa,2076.326416015625,1948.1400146484375,2123.23486328125,2147.032470703125,2308.336669921875,2698.98388671875
Cabanilla,PE210702,Lampa,PE2107,Puno,5179.4267578125,4968.011719,5368.9560546875,5593.21337890625,5868.46240234375,7074.56689453125
Cabanillas,PE211103,San Roman,PE2111,Puno,4436.5048828125,4363.35791015625,4614.36572265625,4592.851563,4949.23779296875,6029.52490234375
Cacatachi,PE220903,San Martin,PE2209,San Martin,6858.88525390625,7780.67041015625,7135.9306640625,8204.7314453125,7782.5791015625,10086.025390625
Caceres del Peru,PE021802,Santa,PE0218,Ancash,4394.45263671875,3974.409423828125,4522.167969,4352.23583984375,4796.9677734375,4789.06787109375
Cachachi,PE060202,Cajabamba,PE0602,Cajamarca,20235.85938,17990.146484375,21036.31641,20492.87891,22941.37109,23598.88281
Cachicadan,PE131003,Santiago de Chuco,PE1310,La Libertad,7372.2724609375,6778.576172,7592.4443359375,7355.08447265625,8004.9111328125,8269.708984
Cachimayo,PE080303,Anta,PE0803,Cusco,3922.242188,4024.513916015625,4106.83056640625,4706.548828,4625.08056640625,6779.085938
Cacra,PE151006,Yauyos,PE1510,Lima,297.8695983886719,270.9052734,306.1325378417969,295.26104736328125,333.4990539550781,346.45928955078125
Cahuac,PE101102,Yarowilca,PE1011,Huanuco,6616.20947265625,7033.345703,6956.90625,7437.052734,7645.25537109375,10373.955078125
Cahuacho,PE040306,Caraveli,PE0403,Arequipa,549.3066406,584.2720947265625,556.767333984375,591.4034423828125,624.9603881835938,703.3029174804688
Cahuapanas,PE160702,Datem del Mara?on,PE1607,Loreto,2960.29833984375,2829.643310546875,3024.625244140625,2978.170166015625,3179.917969,3221.9775390625
Caicay,PE081102,Paucartambo,PE0811,Cusco,2573.94384765625,2598.652099609375,2672.841064453125,2838.031494140625,2899.666748046875,3363.581787109375
Cairani,PE230202,Candarave,PE2302,Tacna,964.5718994140625,918.0206298828125,990.007568359375,966.8697509765625,1064.020751953125,1197.9749755859375
Caja,PE090204,Acobamba,PE0902,Huancavelica,3018.1201171875,2934.098876953125,3131.14501953125,3209.97216796875,3354.608154296875,4166.95166015625
Cajabamba,PE060201,Cajabamba,PE0602,Cajamarca,31593.451171875,31279.79297,33018.45313,33523.14453,35996.41406,46490.68359
Cajacay,PE020505,Bolognesi,PE0205,Ancash,1801.235107421875,1830.94580078125,1834.109619140625,1947.8414306640625,1992.5869140625,2634.78955078125
Cajamarca,PE060101,Cajamarca,PE0601,Cajamarca,274819.75,275594.7188,289981.8125,310111.3438,321676.1875,465401.5
Cajamarquilla,PE021403,Ocros,PE0214,Ancash,825.2739868164062,876.4082031,851.26318359375,912.224365234375,920.158447265625,1179.094482421875
Cajaruro,PE010702,Utcubamba,PE0107,Amazonas,35721.57422,39274.46484,37236.28125,42075.13672,40927.89844,51756.48828
Cajatambo,PE150301,Cajatambo,PE1503,Lima,2377.700439453125,2652.154052734375,2448.1650390625,2775.45361328125,2669.860595703125,3523.122802734375
Cajay,PE021003,Huari,PE0210,Ancash,3458.7919921875,4244.46533203125,3628.833740234375,4489.73095703125,4044.960693359375,4942.0009765625
Calamarca,PE130502,Julcan,PE1305,La Libertad,4563.53759765625,4193.51123046875,4771.0126953125,4527.6298828125,5195.859375,5143.07958984375
Calana,PE230103,Tacna,PE2301,Tacna,3160.921875,2970.6162109375,3294.95263671875,3232.88818359375,3523.693359,3808.22021484375
Calango,PE150503,Ca?ete,PE1505,Lima,1677.7066650390625,1437.7510986328125,1737.436279296875,1602.3419189453125,1873.012939453125,1862.57275390625
Calapuja,PE210703,Lampa,PE2107,Puno,1534.028564453125,1486.1572265625,1577.208984,1562.68017578125,1713.269531,1872.01318359375
Calca,PE080401,Calca,PE0804,Cusco,25212.03516,26725.353515625,26228.93359,29580.748046875,29102.232421875,46417.99219
Caleta de Carquin,PE150803,Huaura,PE1508,Lima,3429.881103515625,3314.555419921875,3662.848876953125,3674.45751953125,4013.198486328125,4773.9638671875
Callahuanca,PE150703,Huarochiri,PE1507,Lima,4880.6806640625,4632.56494140625,5055.66259765625,5011.50537109375,5424.73095703125,6299.517578
Callalli,PE040504,Caylloma,PE0405,Arequipa,942.669677734375,901.035888671875,960.4683227539062,944.8352661132812,1038.798095703125,1163.0458984375
Callanmarca,PE090303,Angaraes,PE0903,Huancavelica,784.0979614257812,736.2847900390625,820.8289794921875,778.2551879882812,877.1865234,887.388916015625
Callao,PE070101,Callao,PE0701,Callao,227942.0781,200999.8125,238974.0156,228279.0781,263484.8125,275572.9688
Callayuc,PE060602,Cutervo,PE0606,Cajamarca,7790.166016,6836.3232421875,8039.111328,7764.9248046875,8714.880859,8881.441406
