ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,SSP1_2030_population,SSP1_2050_population,SSP2_2030_population,SSP2_2050_population,SSP3_2030_population,SSP3_2050_population
San Pedro,PE080607,Canchis,PE0806,Cusco,2446.035156,2304.817626953125,2543.04833984375,2573.618408203125,2710.96435546875,3072.820068359375
San Pedro de Cachora,PE030108,Abancay,PE0301,Apurimac,3047.906982421875,2752.363281,3175.005859,3170.310302734375,3406.921630859375,3591.093017578125
San Pedro de Cajas,PE120708,Tarma,PE1207,Junin,5461.52685546875,5253.35400390625,5658.0810546875,5592.332031,6088.9267578125,6323.1181640625
San Pedro de Casta,PE150724,Huarochiri,PE1507,Lima,1105.621826171875,980.86376953125,1153.815185546875,1092.025146484375,1269.5384521484375,1272.553466796875
San Pedro de Chana,PE021015,Huari,PE0210,Ancash,3583.1962890625,3715.393310546875,3678.065673828125,4031.4150390625,3851.5869140625,5323.3896484375
San Pedro de Chaulan,PE100108,Huanuco,PE1001,Huanuco,8955.3623046875,8817.583984,9249.320313,9431.607422,9587.3974609375,10636.39453
San Pedro de Chunan,PE120429,Jauja,PE1204,Junin,664.9500732421875,602.1060180664062,718.7847900390625,780.0179443359375,777.230224609375,938.3665771484375
San Pedro de Coris,PE090509,Churcampa,PE0905,Huancavelica,3225.7529296875,3019.0224609375,3356.716064453125,3295.4658203125,3582.545654296875,4742.810547
San Pedro de Huacarpana,PE110209,Chincha,PE1102,Ica,1447.2958984375,1348.58154296875,1479.6405029296875,1435.761962890625,1544.184814453125,1554.818603515625
San Pedro de Huancayre,PE150725,Huarochiri,PE1507,Lima,209.38482666015625,197.8712158203125,219.3054656982422,209.76754760742188,231.67440795898438,228.4554443359375
San Pedro de Larcay,PE050908,Sucre,PE0509,Ayacucho,793.73486328125,766.857177734375,810.9826049804688,802.0523681640625,856.6348876953125,892.109130859375
San Pedro de Lloc,PE130701,Pacasmayo,PE1307,La Libertad,14837.412109375,13163.107421875,15508.0283203125,14917.29297,17004.71484,18036.654296875
